entG,Class
11.32212635,2
11.26042847,2
11.22572356,2
11.15705342,2
11.20674217,2
11.31689171,2
11.26092398,2
11.23484717,2
11.18009642,2
11.26743012,2
11.20867997,2
11.16310703,2
11.24447453,2
11.18162798,2
11.15874422,2
11.19510579,2
11.1961807,2
11.30314625,2
11.3419885,2
11.31943382,2
11.16318909,2
11.22966734,2
11.21063661,2
11.49175135,2
11.45495741,2
11.32171365,2
11.20238309,2
11.21796417,2
11.15048362,2
11.16410935,2
11.53167331,2
11.44441801,2
11.38679334,2
11.29854178,2
11.45685128,2
11.42274772,2
11.33792801,2
11.3352919,2
11.40170493,2
11.32018625,2
11.1402138,2
11.2101044,2
11.25148749,2
11.28281194,2
11.24977081,2
11.3983396,2
11.20965887,2
11.17779085,2
11.21124827,2
11.25427003,2
11.35328835,2
11.37108817,2
11.32447924,2
11.33038972,2
11.30804628,2
11.34066624,2
11.43655166,2
11.1114769,2
11.29841861,2
11.08891361,2
11.25389598,2
11.25651956,2
11.1127197,2
11.07088692,2
11.16703577,2
11.06837961,2
11.11395075,2
11.42938934,2
11.16182656,2
11.44748618,2
11.2252136,2
11.33325674,2
11.40663614,2
11.30056897,2
11.43473294,2
11.36324753,2
11.27678591,2
11.32697148,2
11.3427922,2
11.35961527,2
11.4416888,2
11.39650863,2
11.29497402,2
11.3372614,2
11.1988535,2
11.15747281,2
11.27050382,2
11.19615149,2
11.19746764,2
11.18410509,2
11.178673,2
11.1981026,2
11.27895104,2
11.16336199,2
11.4690705,2
11.14705161,2
11.25577785,2
11.25220376,2
11.12439903,2
11.32070132,2
11.22264941,2
11.28443677,2
11.37952683,2
11.38933599,2
11.36516978,2
11.38294604,2
11.21070337,2
11.28405423,2
11.26638116,2
11.25273694,2
11.35739768,2
11.29350933,2
11.46550921,2
11.32035537,2
11.3714243,2
11.23061045,2
11.36688926,2
11.27402181,2
11.21127724,2
11.31983801,2
11.31034932,2
11.29147413,2
11.31834388,2
11.22050052,2
11.35870303,2
11.28515958,2
11.44037636,2
11.44721276,2
11.28476995,2
11.20749159,2
11.20790412,2
11.34879594,2
11.30550894,2
11.17734702,2
11.40743547,2
11.42716596,2
11.39996136,2
11.25246376,2
11.36294661,2
11.31397746,2
11.25732446,2
11.15011386,2
11.17903412,2
11.1861561,2
11.15826022,2
11.1555761,2
11.19384363,2
11.28835855,2
11.33452742,2
11.35649754,2
11.19860559,2
11.23255743,2
11.16894944,2
11.22000266,2
11.1961478,2
11.32725709,2
11.20190549,2
11.31661913,2
11.30177828,2
11.13908945,2
11.23381049,2
11.10534392,2
10.92923296,2
11.36272191,2
11.31877608,2
11.31612734,2
11.09768602,2
11.15929616,2
11.37172499,2
11.28189175,2
11.34158575,2
11.29325615,2
11.14868149,2
11.0889267,2
11.11708194,2
11.43260404,2
11.07090145,2
11.17402924,2
11.09874787,2
11.06967262,2
11.13760425,2
11.20476232,2
11.19625106,2
11.11152884,2
11.0690549,2
11.05725979,2
11.35511807,2
11.2018476,2
10.95637171,2
10.90811307,2
11.01269349,2
11.07639198,2
11.05983409,2
11.03335234,2
11.07022352,2
11.08402393,2
10.95860422,2
11.29530614,2
11.01867104,2
11.00118953,2
10.97112625,2
11.02608968,2
11.0325533,2
11.0379092,2
11.09529091,2
11.1505169,2
11.15675643,2
11.10665222,2
11.25223138,2
11.26752932,2
11.21167815,2
11.18231285,2
11.14688582,2
11.12513823,2
11.39415141,2
11.12802437,2
10.9434674,2
11.06066701,2
11.18051536,2
11.41200481,2
11.32084195,2
11.27234937,2
11.26131546,2
11.3018137,2
11.40793192,2
11.4620452,2
11.27518935,2
11.40370957,2
11.3607963,2
11.4373949,2
11.29304331,2
11.33766066,2
11.27062707,2
11.29845676,2
11.32839415,2
11.32670852,2
11.4570752,2
11.34142389,2
11.25770161,2
11.25915761,2
11.2271797,2
11.39995936,2
11.34040812,2
11.2517085,2
11.29500822,2
11.25120518,2
11.21613978,2
11.39470438,2
11.43974556,2
11.34199735,2
11.29867684,2
11.24358081,2
11.28992057,2
11.21645972,2
11.20006491,2
11.20258359,2
11.272686,2
11.3115778,2
11.42736815,2
11.23493136,2
11.39090414,2
11.23613243,2
11.15732673,2
11.15742971,2
11.33405034,2
11.31071723,2
11.33067936,2
11.25246764,2
11.3527114,2
11.4246385,2
11.30741022,2
11.19983311,2
11.30973961,2
11.37338552,2
11.26763679,2
11.25640718,2
